"id_national","month","andeb","anfin","tmm","tnm","txm","rrtm"
11413222,1,1961,1990,10.5,5.6,15.8,76.8
11413222,2,1961,1990,10.9,5.8,16.2,73.1
11413222,3,1961,1990,12.4,6.8,17.9,58
11413222,4,1961,1990,14.6,8.6,20.5,41.8
11413222,5,1961,1990,18.7,11.6,25.9,24.9
11413222,6,1961,1990,23.2,15.8,30.5,10.7
11413222,7,1961,1990,26.3,18.6,33.9,3.3
11413222,8,1961,1990,27.4,19.7,34.7,7.1
11413222,9,1961,1990,24.3,17.8,30.8,34.3
11413222,10,1961,1990,19.9,14,25.5,71.5
11413222,11,1961,1990,15.3,10,20.4,70.6
11413222,12,1961,1990,12,7.1,16.9,76.3
11414111,1,1961,1990,11.1,6.9,15.3,91.9
11414111,2,1961,1990,11.4,7,15.8,84.8
11414111,3,1961,1990,12.5,7.7,17.2,58.5
11414111,4,1961,1990,14.7,9.7,19.6,44.9
11414111,5,1961,1990,18.2,12.6,23.7,27.3
11414111,6,1961,1990,22.1,16.4,27.7,10
11414111,7,1961,1990,25.2,19.1,31.3,2.4
11414111,8,1961,1990,25.9,20.1,31.6,5.3
11414111,9,1961,1990,23.7,18.3,29,31.1
11414111,10,1961,1990,19.8,14.8,24.8,83.7
11414111,11,1961,1990,15.3,10.7,19.9,84.2
11414111,12,1961,1990,12.2,8,16.3,101.9
11515111,1,1961,1990,11.5,7.2,15.7,59.3
11515111,2,1961,1990,12,7.4,16.5,57.2
11515111,3,1961,1990,13.2,8.3,18.1,46.7
11515111,4,1961,1990,15.6,10.4,20.7,37.8
11515111,5,1961,1990,19.3,13.7,24.9,22.6
11515111,6,1961,1990,23.2,17.3,29,10.4
11515111,7,1961,1990,26.3,20,32.6,2.3
11515111,8,1961,1990,26.8,20.8,32.7,6.7
11515111,9,1961,1990,24.4,19,29.7,36
11515111,10,1961,1990,20.4,15.5,25.2,66.1
11515111,11,1961,1990,15.9,11.3,20.5,53.7
11515111,12,1961,1990,12.5,8.2,16.7,63.1
11817211,1,1961,1990,10.6,5.4,15.7,48.5
11817211,2,1961,1990,11.3,5.3,17.3,37.1
11817211,3,1961,1990,12.9,6.8,19,38.2
11817211,4,1961,1990,15.5,8.3,22.8,34.9
11817211,5,1961,1990,19.8,12.3,27.3,18.7
11817211,6,1961,1990,23.8,15.8,31.8,9.2
